url,Image,course_title,Puan,,udsronly4,level,udsronly6,coursecardinstructorsmoduleinstructorlistcjtfw,review_parantezli,review,price_tl,price
https://www.youtube.com/watch?v=T9X8UrjBxJc,,[Ders 1] - Android Programlama Dersleri - Giriş,,,,Tüm Düzeyler,,,,9,,
https://www.youtube.com/watch?v=VuwzaBbalto,,Android Programlama Ders 5:Uygulama İkonunu Ayarlama ve Android Cihazlarda Çalıştırma,,,,Tüm Düzeyler,,,,23,,
https://www.youtube.com/watch?v=bsnwvwS844k,,Android Programlama Temelleri 02 : Android Projesi Oluşturma,,,,Tüm Düzeyler,,,,147,,
https://www.youtube.com/watch?v=6XyXzMRjv4o,,Mobil Android Programlama 5.Uygulama Ödevi | Kronometre Uygulaması,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=wU72oDfxsqk,,Java ile Android Programlama | Çağlar Artar,,,,Tüm Düzeyler,,,,4,,
https://www.youtube.com/watch?v=qkQGACtKadQ,,Android Programlama Dersleri #2: Android Studio'ya Bir Telefonu Bağlamak,,,,Tüm Düzeyler,,,,300,,
https://www.youtube.com/watch?v=uFmjp1L4WwU,,Android Programlama Dersleri #10: ScrollView Kullanımı Ve Uygulamamızı Telefona Kablosuz Yüklemek,,,,Tüm Düzeyler,,,,25,,
https://www.youtube.com/watch?v=1VbMhzbOJzU,,Java ile Android Programlama,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=JAxbtb5mJTQ,,Android Programlama #1 | Android Studio Kurulumu,,,,Tüm Düzeyler,,,,10,,
https://www.youtube.com/watch?v=kljSQ24yI4U,,İLERİ SEVİYE : GİRİŞ ANDROID PROGRAMLAMA ileri Android - Servisler,,,,Uzman,,,,0,,
https://www.youtube.com/watch?v=Lz3k8WbJGsY,,Android Programlama | 3. Uygulama TEST | Üye Giriş Paneli,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=K1PH9OjxBH4,,"Android Programlama Temelleri 03 : Basit Bileşenler (eklenmesi, özellikleri, yerleşimleri)",,,,Tüm Düzeyler,,,,62,,
https://www.youtube.com/watch?v=uPbpeDdwjRU,,Java ile Android Programlama Ders 15 - Firebase Bağlantısı ve Veri Gönderme,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=FdWlXZIzhRo,,1 - Android Studio'da Java ile Mobil Programlama | Proje Tanıtımı,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=6ITn2_qBwQQ,,Java ile Android Programlama Ders 1- Android Studio Proje Oluşturma ve Tanıtım,,,,Tüm Düzeyler,,,,22,,
https://www.youtube.com/watch?v=Rnj5NrVGw40,,Android Programlama Ders 4 stil,,,,Tüm Düzeyler,,,,6,,
https://www.youtube.com/watch?v=4WFSSx3Nck8,,AppInventor 2 ile Android programlama -Çevrimdışı AppInventor 2 Sunucu Kurulumu tutorial,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=K2lFchsv_nw,,Mobil (Android) Programlama Switch Gece Gündüz 8. Ödev,,,,Tüm Düzeyler,,,,0,,
